Product Name,Roast Level,Flavor Notes,Brew Method,Strength,Price (€)
Quantum Roast,Light,"Chocolate, Nutty",Pour Over,Strong,16
The Daily Grind,Light,"Spicy, Fruity",Pour Over,Strong,12
Bean There Done That,Dark,"Nutty, Floral",Espresso,Mild,18
Dark Arts,Medium,"Spicy, Nutty",Cold Brew,Strong,10
Ctrl+Alt+Brew,Light,"Floral, Smoky",French Press,Mild,13
Roast & Reboot,Medium,"Chocolate, Citrus",AeroPress,Strong,15
Ground Control,Dark,"Smoky, Fruity",Espresso,Balanced,15
Java the Hutt,Medium,"Smoky, Spicy",French Press,Strong,14
Sprocket Fuel,Light,"Smoky, Chocolate",Espresso,Strong,14
Nerdvana,Medium,"Fruity, Citrus",AeroPress,Strong,15
The Roast Philosopher,Dark,"Spicy, Floral",French Press,Strong,13
Smooth Criminal,Light,"Smoky, Chocolate",French Press,Strong,15
Brewhemian Rhapsody,Dark,"Spicy, Chocolate",Cold Brew,Balanced,13
Wake-Up Call,Dark,"Fruity, Chocolate",Espresso,Mild,15
The Bean Identity,Dark,"Chocolate, Citrus",AeroPress,Mild,10
Hyper Bean,Light,"Smoky, Chocolate",Pour Over,Strong,15
Flat White Lies,Medium,"Chocolate, Nutty",AeroPress,Strong,14
Einstein’s Espresso,Dark,"Smoky, Nutty",Cold Brew,Balanced,15
Bitter Sweet Logic,Medium,"Chocolate, Citrus",AeroPress,Strong,16
Deja Brew,Light,"Spicy, Citrus",Pour Over,Strong,18
The Roast Awakens,Light,"Spicy, Citrus",Cold Brew,Mild,16
Byte Roast,Medium,"Spicy, Nutty",Pour Over,Mild,14
Latte Da Vinci,Medium,"Citrus, Nutty",Pour Over,Mild,13
Cold Code Brew,Dark,"Citrus, Nutty",Espresso,Strong,13
Syntax & Caffeine,Medium,"Fruity, Spicy",Cold Brew,Strong,13
Boolean Buzz,Dark,"Citrus, Fruity",Cold Brew,Strong,15
French Roast Revolution,Dark,"Floral, Fruity",Cold Brew,Mild,12
Cup o’ Curiosity,Medium,"Citrus, Nutty",AeroPress,Balanced,10
Flavor Theory,Medium,"Nutty, Floral",AeroPress,Strong,12
The Think Roast,Light,"Spicy, Citrus",French Press,Strong,18
Brewtality,Medium,"Chocolate, Smoky",AeroPress,Balanced,16
Zen and the Art of Pour,Light,"Floral, Smoky",AeroPress,Mild,15
Pour Decisions,Medium,"Citrus, Nutty",Cold Brew,Strong,18
Roast Whisperer,Light,"Nutty, Chocolate",AeroPress,Mild,14
Caffè Codex,Light,"Fruity, Floral",Espresso,Balanced,12
Infinite Drip,Dark,"Citrus, Nutty",Pour Over,Strong,14
Brewlogy,Dark,"Chocolate, Spicy",Espresso,Mild,13
Sip Happens,Dark,"Citrus, Smoky",Cold Brew,Balanced,16
Rise & Grind,Dark,"Spicy, Chocolate",Pour Over,Balanced,14
Espresso Yourself,Dark,"Fruity, Chocolate",Pour Over,Mild,10
